"Path","SizeMB","Category","LargeFlag","SuggestedAction"
"web\public\logos.zip","16.26","Archive in repo","","Delete"
"web\src\App.jsx.rar","0.03","Archive in repo","","Delete"
"web\src\useScoreboard.js.bangfix.bak","0.17","Backup file","","Delete"
"web\src\App.jsx.blankweek.bak","0.17","Backup file","","Delete"
"web\src\useScoreboard.js.bak","0.17","Backup file","","Delete"
"web\src\App.jsx.bak","0.17","Backup file","","Delete"
"web\src\App.jsx.bangfix.bak","0.17","Backup file","","Delete"
"web\src\App.jsx.loadingweek.bak","0.17","Backup file","","Delete"
"web\src\useScoreboard.js.noflicker.bak","0.17","Backup file","","Delete"
"web\src\App.jsx.noflicker.bak","0.17","Backup file","","Delete"
"web\src\App.jsx.broken-20250905-230122.jsx.bak","0.09","Backup file","","Delete"
"web\src\App.jsx.broken-20250905-225959.jsx.bak","0.09","Backup file","","Delete"
"web\src\App.jsx.broken-20250905-232506.jsx.bak","0.09","Backup file","","Delete"
"web\src\App.jsx.broken-20250906-011843.jsx.bak","0.09","Backup file","","Delete"
"web\src\components\BulkImportPicksPreview.jsx.bak","0.02","Backup file","","Delete"
"web\src\components\Scorebug.jsx.bak","0.01","Backup file","","Delete"
"web\src\components\AdminPicksPage.jsx.bak","0.01","Backup file","","Delete"
"web\src\components\TeamLogo.jsx.bak","0.01","Backup file","","Delete"
"web\src\lib\useScoreboard.js.bak","0.01","Backup file","","Delete"
"web\src\firebase.js.bak","0","Backup file","","Delete"
"web\src\cfbdLive.js.bak","0","Backup file","","Delete"
"web\src\picks_public.js.bak","0","Backup file","","Delete"
"web\src\main.jsx.bak","0","Backup file","","Delete"
"web\src\Scorebug.jsx.bak","0","Backup file","","Delete"
"web\src\components\AbbrevIfOverflow.jsx.bak","0","Backup file","","Delete"
"web\src\pages\AdminPicksPage.jsx.bak","0","Backup file","","Delete"
"web\src\lib\cfbdLive.js.bak","0","Backup file","","Delete"
"web\src\lib\espnWeek.js.bak","0","Backup file","","Delete"
"web\src\lib\cfbd.js.bak","0","Backup file","","Delete"
"backup\reports\backup-file-report-20250929-233210.txt","0.47","Backup folder","","Delete"
"backup\reports\repo-purge-20250929-233628.txt","0.18","Backup folder","","Delete"
"backup\rules-sync-20250929-225525\remote-before.rules","0","Backup folder","","Delete"
"backup\rules-sync-20250929-225525\remote-after.rules","0","Backup folder","","Delete"
"backup\verify-inspect-20250929-232036\remote.rules","0","Backup folder","","Delete"
"backup\verify-attic-20250929-231706\remote.rules","0","Backup folder","","Delete"
"backup\verify-20250929-225447\remote-firestore.rules","0","Backup folder","","Delete"
